ts,value,time_ms,time_s
1575298840.4198134,32.0,15:00:40.419813,15:00:40
1575298840.4714568,32.0,15:00:40.471457,15:00:40
1575298840.521583,32.0,15:00:40.521583,15:00:40
1575298840.5717127,32.0,15:00:40.571713,15:00:40
1575298841.624509,32.0,15:00:41.624509,15:00:41
1575298841.6746385,32.0,15:00:41.674639,15:00:41
1575298841.7247612,32.0,15:00:41.724761,15:00:41
1575298841.7748895,32.0,15:00:41.774889,15:00:41
1575298842.9320815,32.0,15:00:42.932081,15:00:42
1575298842.9822087,32.0,15:00:42.982209,15:00:42
1575298843.0323243,32.0,15:00:43.032324,15:00:43
1575298843.0824509,32.0,15:00:43.082451,15:00:43
1575298843.132619,32.0,15:00:43.132619,15:00:43
1575298843.533922,80.0,15:00:43.533922,15:00:43
1575298843.5840476,80.0,15:00:43.584048,15:00:43
1575298843.6343744,80.0,15:00:43.634374,15:00:43
1575298843.6844945,64.0,15:00:43.684494,15:00:43
1575298843.7346148,32.0,15:00:43.734615,15:00:43
1575298844.0854864,32.0,15:00:44.085486,15:00:44
1575298844.1356075,32.0,15:00:44.135607,15:00:44
1575298844.1857274,32.0,15:00:44.185727,15:00:44
1575298844.5867805,32.0,15:00:44.586781,15:00:44
1575298844.638314,32.0,15:00:44.638314,15:00:44
1575298844.7636745,24.0,15:00:44.763674,15:00:44
1575298846.5007527,32.0,15:00:46.500753,15:00:46
1575298846.560533,32.0,15:00:46.560533,15:00:46
1575298846.7151835,32.0,15:00:46.715183,15:00:46
1575298847.2342336,32.0,15:00:47.234234,15:00:47
1575298847.352493,32.0,15:00:47.352493,15:00:47
1575298847.4817138,32.0,15:00:47.481714,15:00:47
1575298847.6990118,32.0,15:00:47.699012,15:00:47
1575298848.3708045,32.0,15:00:48.370805,15:00:48
1575298848.4210448,32.0,15:00:48.421045,15:00:48
1575298848.4711714,32.0,15:00:48.471171,15:00:48
1575298848.5213134,32.0,15:00:48.521313,15:00:48
1575298848.571437,64.0,15:00:48.571437,15:00:48
1575298848.6215596,64.0,15:00:48.621560,15:00:48
1575298848.67169,64.0,15:00:48.671690,15:00:48
1575298848.7218142,48.0,15:00:48.721814,15:00:48
1575298849.6242142,32.0,15:00:49.624214,15:00:49
1575298849.674338,32.0,15:00:49.674338,15:00:49
1575298850.0252616,32.0,15:00:50.025262,15:00:50
1575298850.0753887,32.0,15:00:50.075389,15:00:50
1575298850.1255145,32.0,15:00:50.125515,15:00:50
1575298850.1756394,32.0,15:00:50.175639,15:00:50
1575298850.2257652,32.0,15:00:50.225765,15:00:50
1575298851.278443,32.0,15:00:51.278443,15:00:51
1575298851.3286266,32.0,15:00:51.328627,15:00:51
1575298851.3797688,32.0,15:00:51.379769,15:00:51
1575298951.9815438,32.0,15:02:31.981544,15:02:31
1575298952.0316734,48.0,15:02:32.031673,15:02:32
1575298952.081798,48.0,15:02:32.081798,15:02:32
1575298952.1319244,48.0,15:02:32.131924,15:02:32
1575298952.1820714,48.0,15:02:32.182071,15:02:32
1575298952.232204,32.0,15:02:32.232204,15:02:32
1575298952.2823286,32.0,15:02:32.282329,15:02:32
1575298952.3324547,32.0,15:02:32.332455,15:02:32
1575298952.5831242,64.0,15:02:32.583124,15:02:32
1575298952.6332483,64.0,15:02:32.633248,15:02:32
1575298952.6833694,64.0,15:02:32.683369,15:02:32
1575298952.7336574,32.0,15:02:32.733657,15:02:32
1575298952.783784,32.0,15:02:32.783784,15:02:32
1575298952.833911,32.0,15:02:32.833911,15:02:32
1575298952.8840387,32.0,15:02:32.884039,15:02:32
1575298952.9342124,32.0,15:02:32.934212,15:02:32
1575298954.439518,32.0,15:02:34.439518,15:02:34
1575298967.5762367,32.0,15:02:47.576237,15:02:47
1575298967.7105849,32.0,15:02:47.710585,15:02:47
1575298968.5393822,48.0,15:02:48.539382,15:02:48
1575298968.5895028,64.0,15:02:48.589503,15:02:48
1575298968.6416032,64.0,15:02:48.641603,15:02:48
1575298968.6942616,64.0,15:02:48.694262,15:02:48
1575298968.7443984,48.0,15:02:48.744398,15:02:48
1575298968.7945447,32.0,15:02:48.794545,15:02:48
1575298968.8446705,32.0,15:02:48.844671,15:02:48
1575298968.8947985,32.0,15:02:48.894799,15:02:48
1575298968.9449408,32.0,15:02:48.944941,15:02:48
1575298969.2457495,32.0,15:02:49.245749,15:02:49
1575298969.2958794,32.0,15:02:49.295879,15:02:49
1575298969.3460054,48.0,15:02:49.346005,15:02:49
1575298969.3961337,32.0,15:02:49.396134,15:02:49
1575298969.4462678,32.0,15:02:49.446268,15:02:49
1575298991.506892,32.0,15:03:11.506892,15:03:11
1575298991.557051,32.0,15:03:11.557051,15:03:11
1575298991.607177,32.0,15:03:11.607177,15:03:11
1575298991.6573372,32.0,15:03:11.657337,15:03:11
1575298997.4229298,32.0,15:03:17.422930,15:03:17
1575298997.4730506,32.0,15:03:17.473051,15:03:17
1575298997.5240133,32.0,15:03:17.524013,15:03:17
1575298997.574238,32.0,15:03:17.574238,15:03:17
1575298997.6243615,32.0,15:03:17.624362,15:03:17
1575298998.5347676,32.0,15:03:18.534768,15:03:18
